Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Ministry of Correctional Services Act, R.S.O. 1990, c. M.22","Yes","Attorney General, in respect of sections 31 to 34, subsection 34.1 (3), clause 58 (e) and paragraphs (j) and (k) of subsection 60 (1)
Solicitor General, except in respect of sections 31 to 34, subsection 34.1 (3), subsections 58 (e) and clauses (j) and (k) of subsection 60 (1)","Attorney General: 1143/2018 (10/11/2018)
Solicitor General: 635/2019 (04/05/2019)","1996, c. 1, Sch. P
1997, c. 17, s. 6, 7
1997, c. 39, s. 7-10
2000, c. 40, s. 1-18
2002, c. 12
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. N, s. 18-56 (But see 2009, c. 2, s. 32; 2009, c. 33, Sch. 9, s. 5 and Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2006, c. 19, Sch. D, s. 12 (But see 2009, c. 2, s. 33)
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 34, Sch. C, s. 24
2006, c. 35, Sch. C, s. 71
2009, c. 2, s. 16-27
2009, c. 33, Sch. 6, s. 69
2009, c. 33, Sch. 9, s. 8
2014, c. 13, Sch. 9, s. 20
2017, c. 14, Sch. 4, s. 22
2017, c. 34, Sch. 46, s. 26
2018, c. 3, Sch. 5, s. 34 (see 2019, c. 1, Sch. 3, s. 5)
2018, c. 6, Sch. 3, s. 1
2018, c. 6, Sch. 3, s. 1
2018, c. 6, Sch. 3, s. 1
2018, c. 6, Sch. 3, s. 13
2018, c. 6, Sch. 3, s. 15
2019, c. 1, Sch. 4, s. 32
2019, c. 7, Sch. 17, s. 108
2019, c. 7, Sch. 17, s. 108","","",""
"Ministry of Economic Development and Trade Act, R.S.O. 1990, c. M.27 (formerly Ministry of Industry, Trade and Technology Act)","Yes","Minister of Economic Development, Job Creation and Trade","2/2019 (02/02/2019)","2006, c. 19, Sch. I, s. 4
2006, c. 35, Sch. C, s. 72
2019, c. 7, Sch. 17, s. 109
2019, c. 7, Sch. 17, s. 109","","",""
"Ministry of Energy Act, 2011, S.O. 2011, c. 9, Sched. 25","Yes","Minister of Energy, Northern Development and Mines","1148/2018 (10/11/2018)","2014, c. 7, Sch. 20
2019, c. 7, Sch. 17, s. 110
2019, c. 7, Sch. 17, s. 110","","",""
"Ministry of Energy and Infrastructure Act, R.S.O. 1990, c. M.23 (formerly Ministry of Energy Act)","Yes",,,"1998, c. 15, Sch. E, s. 18
2004, c. 8, s. 46, Table
2006, c. 35, Sch. C, s. 73
2009, c. 12, Sch. C","","06/06/2011","2011, c. 9, Sch. 27, s. 32"
"Ministry of Government Services Act, R.S.O. 1990, c. M.25","Yes","Minister of Government and Consumer Services, except in respect of services provided by the Treasury Board Secretariat
President of the Treasury Board, in respect of services provided by the Treasury Board Secretariat","Minister of Government and Consumer Services: 1152/2018 (10/11/2018)
President of the Treasury Board: 1163/2018 (10/11/2018)","1993, c. 23, s. 75
1999, c. 9, s. 139-141
2000, c. 26, Sch. J, s. 1
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. N, s. 2
2006, c. 34, Sch. F, s. 2
2006, c. 35, Sch. C, s. 74
2011, c. 9, Sch. 26
2012, c. 8, Sch. 21, s. 37
2018, c. 17, Sch. 45, s. 9
2019, c. 7, Sch. 17, s. 111
2019, c. 7, Sch. 17, s. 111","","",""
"Ministry of Health and Long-Term Care Act, R.S.O. 1990, c. M.26 (formerly Ministry of Health Act)","Yes","Minister of Health, except in respect of long-term care
Minister of Long-Term Care, in respect of long-term care","Minister of Health: 1110/2019 (31/08/2019)
Minister of Long-Term Care: 1111/2019 (31/08/2019)","1993, c. 2, s. 25, 26
1994, c. 26, s. 74
1996, c. 1, Sch. F, s. 1, 2
1997, c. 15, s. 12
2002, c. 18, Sch. I, s. 15
2006, c. 33, Sch. T
2006, c. 35, Sch. C, s. 75
2006, c. 4, s. 48
2007, c. 8, s. 217
2015, c. 37, s. 2
2016, c. 26
2016, c. 30, s. 41
2019, c. 5, Sch. 2","","",""
"Ministry of Health and Long-Term Care Appeal and Review Boards Act, 1998, S.O. 1998, c. 18, Sched. H (formerly Ministry of Health Appeal and Review Boards Act, 1998)","Yes","Minister of Health","1110/2019 (31/08/2019)","2000, c. 26, Sch. H, s. 2
2002, c. 18, Sch. I, s. 16
2004, c. 13, s. 2
2006, c. 19, Sch. L, s. 8, 11 (2)
2006, c. 21, Sch. C, s. 117
2006, c. 34, s. 36
2006, c. 35, Sch. C, s. 76
2007, c. 8, s. 216
2009, c. 33, Sch. 18, s. 17 (1)
2017, c. 25, Sch. 9, s. 102
2017, c. 34, Sch. 46, s. 27","","",""
"Ministry of Infrastructure Act, 2011, S.O. 2011, c. 9, Sched. 27","Yes","Minister of Government and Consumer Services, in respect of Government property, including acquisition; and in respect of clause 7 (1) (e), clause 7 (1) (g), and subsection 7 (5), the administration of the Act is shared between the Minister of Government and Consumer Services and the Minister of Infrastructure
Minister of Infrastructure, in respect of infrastructure; and in respect of clause 7 (1) (e), clause 7 (1) (g), and subsection 7 (5), the administration of the Act is shared between the Minister of Infrastructure and the Minister of Government and Consumer Services
Minister of Municipal Affairs and Housing, in respect of clause 7 (1) (b) with respect to growth management, clause 7 (1) (c) and subsection 7 (4) with respect to growth management and growth plans","Minister of Government and Consumer Services: 1152/2018 (10/11/2018)
Minister of Infrastructure: 1155/2018 (10/11/2018)
Minister of Municipal Affairs and Housing: 1157/2018 (10/11/2018)","2012, c. 8, Sch. 33
2015, c. 38, Sch. 7, s. 51
2018, c. 17, Sch. 45, s. 10
2019, c. 7, Sch. 17, s. 112
2019, c. 7, Sch. 17, s. 112","","",""
"Ministry of Intergovernmental Affairs Act, R.S.O. 1990, c. M.28","Yes","Minister of Intergovernmental Affairs","3/2019 (02/02/2019)","2019, c. 7, Sch. 17, s. 113
2019, c. 7, Sch. 17, s. 113","","",""
"Ministry of Labour Act, R.S.O. 1990, c. M.29","Yes","Minister of Labour","1156/2018 (10/11/2018)","1993, c. 27, Sch.
2001, c. 9, Sch. I, s. 2
2006, c. 19, Sch. M, s. 4
2006, c. 35, Sch. C, s. 77
2009, c. 33, Sch. 6, s. 70
2016, c. 4, s. 3
2019, c. 7, Sch. 17, s. 114
2019, c. 7, Sch. 17, s. 114","","",""
"Ministry of Municipal Affairs and Housing Act, R.S.O. 1990, c. M.30","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","1993, c. 27, Sch.
2002, c. 17, Sch. F, Table
2006, c. 32, Sch. E, s. 4
2014, c. 7, Sch. 21
2019, c. 7, Sch. 17, s. 115
2019, c. 7, Sch. 17, s. 115","","",""
"Ministry of Natural Resources Act, 1972, S.O. 1972, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Ministry of Natural Resources Act, R.S.O. 1990, c. M.31","Yes","Attorney General, in respect of section 6
Minister of Natural Resources and Forestry, except in respect of sections 7, 9, and 12 as they can be applied to support the powers, duties, functions and responsibilities of the Minister of the Environment, Conservation and Parks related to conservation authorities, provincial parks, conservation reserves and species at risk
Minister of the Environment, Conservation and Parks, in respect of sections 7, 9, and 12 to support the powers, duties, functions and responsibilities of the Minister related to conservation authorities, provincial parks, conservation reserves and species at risk","Attorney General: 1143/2018 (10/11/2018)
Minister of Natural Resources and Forestry: 1158/2018 (10/11/2018)
Minister of the Environment, Conservation and Parks: 1149/2018 (10/11/2018)","2006, c. 19, Sch. C, s. 1 (1)
2006, c. 35, Sch. C, s. 78
2006, c. 9, Sch. G
2009, c. 12, Sch. L, s. 6
2017, c. 8, Sch. 17, s. 1-3
2018, c. 16, s. 5
2019, c. 7, Sch. 17, s. 116
2019, c. 7, Sch. 17, s. 116","","",""
"Ministry of Natural Resources Amendment Act, 1973, S.O. 1973, c. 105","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Ministry of Northern Development, Mines and Forestry Act, R.S.O. 1990, c. M.32 (formerly Ministry of Northern Development and Mines Act)","Yes","Minister of Energy, Northern Development and Mines","1148/2018 (10/11/2018)","2009, c. 33, Sch. 23, s. 3
2017, c. 2, Sch. 15
2019, c. 7, Sch. 17, s. 117
2019, c. 7, Sch. 17, s. 117","","",""
"Ministry of Revenue Act, R.S.O. 1990, c. M.33","Yes","Minister of Finance","1150/2018 (10/11/2018)","2002, c. 22, s. 140
2004, c. 31, Sch. 24
2005, c. 28, Sch. H
2005, c. 31, Sch. 15
2006, c. 33, Sch. U
2006, c. 35, Sch. C, s. 79
2007, c. 7, Sch. 25
2008, c. 7, Sch. M
2009, c. 18, Sch. 17
2009, c. 34, Sch. J, s. 23
2009, c. 34, Sch. M
2010, c. 1, Sch. 18
2010, c. 26, Sch. 12
2011, c. 9, Sch. 28
2012, c. 8, Sch. 34
2014, c. 7, Sch. 22
2015, c. 20, Sch. 25
2016, c. 37, Sch. 14
2017, c. 34, Sch. 26
2017, c. 8, Sch. 18
2018, c. 12, Sch. 2, s. 57
2019, c. 7, Sch. 17, s. 118
2019, c. 7, Sch. 17, s. 118","","",""
"Ministry of the Attorney General Act, R.S.O. 1990, c. M.17","Yes","Attorney General","1143/2018 (10/11/2018)","2000, c. 26, Sch. A, s. 11
2006, c. 35, Sch. C, s. 80
2009, c. 33, Sch. 2, s. 46
2019, c. 7, Sch. 17, s. 119
2019, c. 7, Sch. 17, s. 119","","",""
"Ministry of the Environment Act, R.S.O. 1990, c. M.24","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","2006, c. 35, Sch. C, s. 81","","",""
"Ministry of the Solicitor General Act, R.S.O. 1990, c. M.34","Yes","Solicitor General","635/2019 (04/05/2019)","1999, c. 12, Sch. P, s. 10
2006, c. 35, Sch. C, s. 82","","",""
"Ministry of Tourism and Recreation Act, R.S.O. 1990, c. M.35","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","1993, c. 27, Sch.
2006, c. 35, Sch. C, s. 83
2006, c. 9, Sch. N, s. 5, 6
2009, c. 33, Sch. 24, s. 2
2010, c. 1, Sch. 19
2019, c. 7, Sch. 17, s. 120
2019, c. 7, Sch. 17, s. 120","","",""
"Ministry of Training, Colleges and Universities Act, R.S.O. 1990, c. M.19 (formerly Ministry of Colleges and Universities Act )","Yes","Minister of Training, Colleges and Universities","1161/2018 (10/11/2018)","1993, c. 27, Sch.
2000, c. 36, s. 3
2001, c. 6
2001, c. 8, s. 184
2002, c. 18, Sch. O
2002, c. 8, Sch. F, s. 10
2005, c. 28, Sch. I
2006, c. 19, Sch. S, s. 1
2006, c. 35, Sch. C, s. 84
2009, c. 33, Sch. 25, s. 1
2010, c. 1, Sch. 20
2014, c. 11, Sch. 5
2015, c. 20, Sch. 26
2016, c. 2, Sch. 3
2019, c. 7, Sch. 17, s. 121
2019, c. 7, Sch. 17, s. 121
2019, c. 7, Sch. 39
2019, c. 7, Sch. 39","","",""
"Ministry of Transportation Act, R.S.O. 1990, c. M.36","Yes","Minister of Transportation","1162/2018 (10/11/2018)","1996, c. 9, s. 27
2002, c. 18, Sch. P, s. 43
2006, c. 19, Sch. T, s. 9
2006, c. 35, Sch. C, s. 85
2019, c. 7, Sch. 17, s. 122
2019, c. 7, Sch. 17, s. 122","","",""
"Ministry of Transportation and Communications Creditors Payment Act, 1975, S.O. 1975, c. 44","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Ministry of Transportation and Communications Creditors Payment Repeal Act, 1989, S.O. 1989, c. 88","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Ministry of Treasury and Economics Act, R.S.O. 1990, c. M.37","Yes",,,"2000, c. 42, s. 75
2002, c. 22, s. 142
2002, c. 8, Sch. D
2004, c. 17, s. 32
2008, c. 6, s. 5
2008, c. 7, Sch. N","","15/12/2009","2009, c. 34, Sch. J, s. 24"
"Minors’ Protection Act, R.S.O. 1990, c. M.38","Yes",,,,"","30/11/1994","1994, c. 10, s. 24"
"Missing Persons Act, 2018, S.O. 2018, c. 3, Sched. 7","Yes","Solicitor General","635/2019 (04/05/2019)","2018, c. 3, Sch. 7, s. 12","","",""
"Modernizing the Skilled Trades and Apprenticeship Act, 2019, S.O. 2019, c. 7, Sched. 40","Yes","Minister of Training, Colleges and Universities","1106/2019 (31/08/2019)
1161/2018 (10/11/2018)","2019, c. 7, Sch. 40","","",""
"Moosonee Development Area Board Act, R.S.O. 1980, c. 294","No",,,,"See R.S.O. 1990, Schedule C","01/01/2001","2000, c. 5, s. 41"
"Mortgage Brokerages, Lenders and Administrators Act, 2006, S.O. 2006, c. 29 ","Yes","Minister of Finance","1150/2018 (10/11/2018)","2015, c. 20, Sch. 27
2017, c. 34, Sch. 17, s. 24
2017, c. 34, Sch. 27
2018, c. 8, Sch. 17","","",""
"Mortgage Brokers Act, 1968-69, S.O. 1968-69, c. 71","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mortgage Brokers Act, R.S.O. 1990, c. M.39","Yes",,,"1994, c. 27, s. 91
1997, c. 19, s. 15, 37
1997, c. 28, s. 172-186
1999, c. 12, Sch. G, s. 28
1999, c. 12, Sch. I, s. 6
2001, c. 8, s. 186-188
2002, c. 30, Sch. E, s. 11
2004, c. 8, s. 46, Table
2005, c. 31, Sch. 16
2006, c. 19, Sch. C, s. 1 (1)","","01/07/2008","2006, c. 29, s. 58"
"Mortgages Act, R.S.O. 1990, c. M.40","Yes","Attorney General","1143/2018 (10/11/2018)","1991, c. 6
1993, c. 27, Sch.
1997, c. 24, s. 215
1998, c. 18, Sch. E, s. 183
1999, c. 6, s. 38
2000, c. 26, Sch. B, s. 14
2005, c. 5, s. 42
2006, c. 17, s. 252
2015, c. 28, Sch. 1, s. 153
2015, c. 38, Sch. 7, s. 52","","",""
"Mortgages Act, The, R.S.O. 1914, c. 112","No",,,,"s. 15","",""
"Mortgages Amendment Act, 1964, The, S.O. 1964, c. 64","No",,,,"s. 8","",""
"Mortmain and Charitable Uses Amendment Act, 1972, S.O. 1972, c. 85","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Mortmain and Charitable Uses Repeal Act, 1982, S.O. 1982, c. 12","No",,,,"Total","",""
"Motor Vehicle Accident Claims Act, R.S.O. 1980, c. 298","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Motor Vehicle Accident Claims Act, R.S.O. 1990, c. M.41","Yes","Minister of Government and Consumer Services","450/2019 (06/04/2019)
1152/2018 (10/11/2018)","1993, c. 10, s. 54
1993, c. 27, Sch.
1997, c. 19, s. 16
1997, c. 28, s. 187-189
2002, c. 22, s. 144-149
2002, c. 24, Sch. B, s. 25
2004, c. 31, Sch. 25
2006, c. 19, Sch. C, s. 1 (1)
2014, c. 9, Sch. 5, s. 7
2018, c. 17, Sch. 26","","",""
"Motor Vehicle Accident Claims Amendment Act, 1973, S.O. 1973, c. 13","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Motor Vehicle Dealers Act, 2002, S.O. 2002, c. 30, Sched. B ","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2004, c. 19, s. 16
2004, c. 8, s. 46, Table
2006, c. 21, Sch. F, s. 119
2006, c. 34, s. 17
2007, c. 4, s. 35, 36
2009, c. 33, Sch. 10, s. 10
2011, c. 1, Sch. 2, s. 5
2012, c. 8, Sch. 11, s. 49","","",""
"Motor Vehicle Dealers Act, R.S.O. 1990, c. M.42","Yes",,,"1994, c. 27, s. 92
1997, c. 19, s. 38
1997, c. 35, s. 2
1998, c. 18, Sch. E, s. 184-186
1999, c. 12, Sch. G, s. 29
2001, c. 9, Sch. D, s. 13, 14
2002, c. 30, Sch. E, s. 12 (But see 2004, c. 8, s. 46, Table)
2007, c. 4, s. 34
2009, c. 33, Sch. 6, s. 71","","01/01/2010","2002, c. 30, Sch. E, s. 12"
"Motor Vehicle Fuel Tax Act, 1965, S.O. 1965, c. 76","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Motor Vehicle Fuel Tax Amendment Act, 1966 (No. 2), S.O. 1966, c. 91","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Motor Vehicle Repair Act, R.S.O. 1990, c. M.43","Yes",,,"1991, c. 6
1993, c. 27, Sch.
1997, c. 24, s. 215
1998, c. 18, Sch. E, s. 183
1999, c. 6, s. 38
2000, c. 26, Sch. B, s. 14
2005, c. 5, s. 42
2006, c. 17, s. 252.","","30/07/2005","2002, c. 30, Sch. E, s. 13"
"Motorized Snow Vehicles Act, R.S.O. 1990, c. M.44","Yes","Minister of Transportation","1162/2018 (10/11/2018)","1997, c. 41, s. 122
2000, c. 30, s. 1-9
2002, c. 17, Sch. F, Table
2006, c. 32, Sch. C, s. 32
2009, c. 33, Sch. 26, s. 6
2016, c. 8, Sch. 2
2019, c. 7, Sch. 17, s. 123
2019, c. 7, Sch. 17, s. 123","","",""
"MPPs Pension Act, 1996, S.O. 1996, c. 6, Sched. A","Yes","Minister of Finance","1150/2018 (10/11/2018)","1996, c. 29, s. 66-69
1999, c. 15, s. 20, 21
1999, c. 6, s. 39
2005, c. 5, s. 43
2006, c. 36, s. 2
2016, c. 23, s. 57","","",""
"Mulholland Cairn Act, 1966, S.O. 1966, c. 92","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Act, 2001, S.O. 2001, c. 25","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","2002, c. 17, Sch. A
2002, c. 22, s. 151-161
2002, c. 24, Sch. B, s. 25, 42
2002, c. 33, s. 145
2002, c. 8, Sch. I, s. 17
2003, c. 4, s. 12
2003, c. 7, s. 14
2004, c. 31, Sch. 26
2004, c. 7, s. 11-13
2004, c. 8, s. 46, Table
2005, c. 31, Sch. 17
2005, c. 33, s. 11-13
2005, c. 5, s. 44
2005, c. 8
2006, c. 11, Sch. B, s. 9
2006, c. 19, Sch. D, s. 13
2006, c. 19, Sch. O, s. 3
2006, c. 2, s. 49
2006, c. 21, Sch. C, s. 118
2006, c. 21, Sch. F, s. 120, 136 (1)
2006, c. 23, s. 34, 36
2006, c. 32, Sch. A
2006, c. 33, Sch. V
2006, c. 33, Sch. Z.3, s. 17
2006, c. 34, Sch. D, s. 96
2006, c. 35, Sch. C, s. 86, 134 (3)
2006, c. 9, Sch. H, s. 5
2007, c. 7, Sch. 26
2007, c. 8, s. 218
2008, c. 14, s. 56
2008, c. 7, Sch. O
2009, c, 33, Sch. 21, s. 6
2009, c. 18, Sch. 18
2009, c. 22, s. 99
2009, c. 29, s. 11
2009, c. 33, Sch. 2, s. 47
2009, c. 33, Sch. 26, s. 5
2009, c. 33, Sch. 4, s. 4
2009, c. 33, Sch. 6, s. 72
2009, c. 33, Sch. 8, s. 14
2009, c. 34, Sch. I, s. 22
2010, c. 16, Sch. 12, s. 3
2011, c. 6, Sch. 1, s. 187
2013, c. 13, Sch. 1, s. 16
2014, c. 13, Sch. 9, s. 21, 22
2015, c. 27, Sch. 5, s. 4
2015, c. 38, Sch. 15
2015, c. 38, Sch. 7, s. 53
2016, c. 37, Sch. 15
2016, c. 5, Sch. 16
2017, c. 10, Sch. 1
2017, c. 14, Sch. 4, s. 23
2017, c. 20, Sch. 8, s. 99
2017, c. 23, Sch. 5, s. 40-59
2017, c. 25, Sch. 9, s. 103
2017, c. 34, Sch. 28
2017, c. 34, Sch. 35, s. 28
2017, c. 5, Sch. 2, s. 27
2017, c. 8, Sch. 19
2018, c. 11, Sch. 2
2018, c. 17, Sch. 27
2018, c. 3, Sch. 5, s. 35 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 33
2019, c. 7, Sch. 40, s. 64
2019, c. 7, Sch. 40, s. 64
2019, c. 9, Sch. 9, s. 11
CTS 10 MR 10 - 1
CTS 20 AL 16 - 2
CTS 27 AL 10 - 2
CTS 4 AU 09 - 2
CTS 4 AU 09 - 3","","",""
"Municipal Act, R.S.O. 1990, c. M.45","Yes",,,"1991, c. 11, s. 5, c. 15, s. 1-6 & c. 54, s. 9
1992, c. 15, s. 1-19, c. 17, s. 5, c. 23, s. 40 & c. 32, s. 22
1993, c. 11, s. 44, 45, c. 20, s. 1-4, c. 23, s. 68, c. 26, s. 46-48 & c. 27, Sch.
1994, c. 2, s. 50, 51, c. 7 c. 10, s. 21, c. 17, s. 49, c. 23, s. 51-58, c. 25, s. 82, c. 27, s. 109, 123 & c. 37, s. 1-5
1996, c. 1, Sch. M, s. 1-24, c. 4, s. 54 & c. 32, s. 2-58
1997, c. 5, s. 40-61, 82-83, c. 8, s. 43, c. 19, s. 39, c. 23, s. 10, c. 24, s. 216, c. 25, Sch. E, s. 6, c. 26, Sch. c. 27, s. 72, c. 29, s. 22-49, c. 31, s. 155, c. 43, Sch. F, s. 9 & c. 43, Sch. G, s. 23
1998, c. 3, s. 11-30 c. 4, s. 3, c. 15, Sch. E, s. 19 & c. 33, s. 9-37
1999, c. 6, s. 40, c. 9, s. 143-164, c. 12, Sch. M, s. 17-20 & c. 14, Sch. F, s. 5
2000, c. 5, s. 15 c. 25, s. 14-44 & c. 26, Sch. K, s. 2
2001, c. 8, s. 190-193 & s. 207, c. 13, s. 21, c. 17, s. 3, c. 23, s. 156-168 & c. 25, s. 478","","01/01/2003","2001, c. 25, s. 484 (But see 2001, c. 32, s. 29 and 2002, c. 17, Sch. C, s. 16)"
"Municipal Affairs Act, R.S.O. 1990, c. M.46","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","1991, c. 15, s. 38, 39
1993, c. 20, s. 20
1993, c. 27, Sch.
1998, c. 15, Sch. E, s. 20
2002, c. 17, Sch. F, Table
2002, c. 8, Sch. I, s. 18
2006, c. 21, Sch. F, s. 121
2006, c. 32, Sch. D, s. 8
2007, c. 7, Sch. 7, s. 187
2009, c. 33, Sch. 6, s. 73
2018, c. 3, Sch. 5, s. 36 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 34","","",""
"Municipal Amendment Act (No. 3), 1978, S.O. 1978, c. 101","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1936 (No. 2), S.O. 1936, c. 40","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1941, S.O. 1941, c. 35","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1943, S.O. 1943, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1944, The, S.O. 1944, c. 39","No",,,,"s. 37 (1)","",""
"Municipal Amendment Act, 1947, S.O. 1947, c. 69","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1948, S.O. 1948, c. 59","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1950, S.O. 1950, c. 46","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1955, S.O. 1955, c. 48","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1958 (No. 2), S.O. 1958, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1959, S.O. 1959, c. 62","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1960-61, S.O. 1960-61, c. 59","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1961-62, S.O. 1961-62, c. 86","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1967, S.O. 1967, c. 55","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1971, S.O. 1971, c. 81","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1975, S.O. 1975, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1980, S.O. 1980, c. 36","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, 1982 (No. 2), S.O. 1982, c. 50","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal Amendment Act, S.O. 1886, c. 37","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal and School Board Payments Adjustment Act, 1989, S.O. 1989, c. 9","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Municipal and School Board Payments Adjustment Act, R.S.O. 1990, c. M.47","Yes",,,,"","01/01/1998","1997, c. 31, s. 158"
"Municipal and School Tax Credit Assistance Act, R.S.O 1970, c. 285","No",,,,"","",""
"Municipal Arbitrations Act, R.S.O. 1990, c. M.48","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","1997, c. 26, Sch.
2001, c. 25, s. 479
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 32, Sch. D, s. 9
2017, c. 23, Sch. 5, s. 60","","",""
"Municipal Boundary Negotiations Act, R.S.O. 1990, c. M.49","Yes",,,"1991, c. 15, s. 40
1994, c. 23, s. 67","","01/01/2003","2001, c. 25, s. 484"
"Municipal Conflict of Interest Act, R.S.O. 1990, c. M.50","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","1996, c. 32, s. 76
1997, c. 25, Sch. E, s. 7
1997, c. 31, s. 156
1999, c. 6, s. 41
2002, c. 17, Sch. F, Table
2005, c. 5, s. 45
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 32, Sch. C, s. 33
2006, c. 32, Sch. D, s. 10
2007, c. 7, Sch. 27
2007, c. 8, s. 219
2009, c. 33, Sch. 21, s. 7
2016, c. 23, s. 58
2017, c. 10, Sch. 3
2018, c. 3, Sch. 5, s. 37 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 35","","",""
